realtime_start,realtime_end,date,value
2026-03-13,2026-03-13,1966-01-01,40.33999
2026-03-13,2026-03-13,1966-04-01,39.26763
2026-03-13,2026-03-13,1966-07-01,39.62091
2026-03-13,2026-03-13,1966-10-01,39.51977
2026-03-13,2026-03-13,1967-01-01,39.20383
2026-03-13,2026-03-13,1967-04-01,38.03292
2026-03-13,2026-03-13,1967-07-01,38.82145
2026-03-13,2026-03-13,1967-10-01,39.10231
2026-03-13,2026-03-13,1968-01-01,38.42951
2026-03-13,2026-03-13,1968-04-01,36.96379
2026-03-13,2026-03-13,1968-07-01,37.30897
2026-03-13,2026-03-13,1968-10-01,36.98532
2026-03-13,2026-03-13,1969-01-01,36.19577
2026-03-13,2026-03-13,1969-04-01,34.97403
2026-03-13,2026-03-13,1969-07-01,35.01946
2026-03-13,2026-03-13,1969-10-01,35.46954
2026-03-13,2026-03-13,1970-01-01,35.38879
2026-03-13,2026-03-13,1970-04-01,34.67329
2026-03-13,2026-03-13,1970-07-01,34.86717
2026-03-13,2026-03-13,1970-10-01,35.74822
2026-03-13,2026-03-13,1971-01-01,34.50345
2026-03-13,2026-03-13,1971-04-01,34.36089
2026-03-13,2026-03-13,1971-07-01,35.00694
2026-03-13,2026-03-13,1971-10-01,35.63237
2026-03-13,2026-03-13,1972-01-01,34.72622
2026-03-13,2026-03-13,1972-04-01,33.67383
2026-03-13,2026-03-13,1972-07-01,33.62447
2026-03-13,2026-03-13,1972-10-01,33.74758
2026-03-13,2026-03-13,1973-01-01,33.29287
2026-03-13,2026-03-13,1973-04-01,32.34466
2026-03-13,2026-03-13,1973-07-01,32.12455
2026-03-13,2026-03-13,1973-10-01,31.77379
2026-03-13,2026-03-13,1974-01-01,31.76449
2026-03-13,2026-03-13,1974-04-01,30.99462
2026-03-13,2026-03-13,1974-07-01,30.86269
2026-03-13,2026-03-13,1974-10-01,30.79768
2026-03-13,2026-03-13,1975-01-01,31.53604
2026-03-13,2026-03-13,1975-04-01,32.27817
2026-03-13,2026-03-13,1975-07-01,32.38043
2026-03-13,2026-03-13,1975-10-01,32.7301
2026-03-13,2026-03-13,1976-01-01,32.98513
2026-03-13,2026-03-13,1976-04-01,33.49464
2026-03-13,2026-03-13,1976-07-01,33.64333
2026-03-13,2026-03-13,1976-10-01,33.78753
2026-03-13,2026-03-13,1977-01-01,33.65136
2026-03-13,2026-03-13,1977-04-01,32.80422
2026-03-13,2026-03-13,1977-07-01,32.98791
2026-03-13,2026-03-13,1977-10-01,33.21873
2026-03-13,2026-03-13,1978-01-01,33.5012
2026-03-13,2026-03-13,1978-04-01,32.12444
2026-03-13,2026-03-13,1978-07-01,32.21407
2026-03-13,2026-03-13,1978-10-01,31.86206
2026-03-13,2026-03-13,1979-01-01,31.53601
2026-03-13,2026-03-13,1979-04-01,31.06277
2026-03-13,2026-03-13,1979-07-01,30.98402
2026-03-13,2026-03-13,1979-10-01,31.02615
2026-03-13,2026-03-13,1980-01-01,30.94982
2026-03-13,2026-03-13,1980-04-01,31.37303
2026-03-13,2026-03-13,1980-07-01,31.77687
2026-03-13,2026-03-13,1980-10-01,31.157
2026-03-13,2026-03-13,1981-01-01,30.87284
2026-03-13,2026-03-13,1981-04-01,30.70875
2026-03-13,2026-03-13,1981-07-01,30.60333
2026-03-13,2026-03-13,1981-10-01,31.35587
2026-03-13,2026-03-13,1982-01-01,32.41298
2026-03-13,2026-03-13,1982-04-01,32.40213
2026-03-13,2026-03-13,1982-07-01,33.9253
2026-03-13,2026-03-13,1982-10-01,35.18156
2026-03-13,2026-03-13,1983-01-01,35.82911
2026-03-13,2026-03-13,1983-04-01,36.87167
2026-03-13,2026-03-13,1983-07-01,37.3311
2026-03-13,2026-03-13,1983-10-01,37.17553
2026-03-13,2026-03-13,1984-01-01,37.45447
2026-03-13,2026-03-13,1984-04-01,37.72687
2026-03-13,2026-03-13,1984-07-01,38.49586
2026-03-13,2026-03-13,1984-10-01,40.08547
2026-03-13,2026-03-13,1985-01-01,40.44121
2026-03-13,2026-03-13,1985-04-01,41.31983
2026-03-13,2026-03-13,1985-07-01,41.55909
2026-03-13,2026-03-13,1985-10-01,43.78715
2026-03-13,2026-03-13,1986-01-01,44.07415
2026-03-13,2026-03-13,1986-04-01,45.30682
2026-03-13,2026-03-13,1986-07-01,46.12536
2026-03-13,2026-03-13,1986-10-01,47.55286
2026-03-13,2026-03-13,1987-01-01,47.57835
2026-03-13,2026-03-13,1987-04-01,48.04867
2026-03-13,2026-03-13,1987-07-01,48.1165
2026-03-13,2026-03-13,1987-10-01,48.55667
2026-03-13,2026-03-13,1988-01-01,49.03151
2026-03-13,2026-03-13,1988-04-01,49.08744
2026-03-13,2026-03-13,1988-07-01,49.25732
2026-03-13,2026-03-13,1988-10-01,49.71548
2026-03-13,2026-03-13,1989-01-01,49.73276
2026-03-13,2026-03-13,1989-04-01,49.8876
2026-03-13,2026-03-13,1989-07-01,50.17117
2026-03-13,2026-03-13,1989-10-01,51.38111
2026-03-13,2026-03-13,1990-01-01,51.96856
2026-03-13,2026-03-13,1990-04-01,52.7473
2026-03-13,2026-03-13,1990-07-01,53.75313
2026-03-13,2026-03-13,1990-10-01,56.03613
2026-03-13,2026-03-13,1991-01-01,57.41652
2026-03-13,2026-03-13,1991-04-01,57.74551
2026-03-13,2026-03-13,1991-07-01,59.06123
2026-03-13,2026-03-13,1991-10-01,60.68599
2026-03-13,2026-03-13,1992-01-01,60.99679
2026-03-13,2026-03-13,1992-04-01,61.57938
2026-03-13,2026-03-13,1992-07-01,61.89802
2026-03-13,2026-03-13,1992-10-01,62.52256
2026-03-13,2026-03-13,1993-01-01,62.86657
2026-03-13,2026-03-13,1993-04-01,63.91524
2026-03-13,2026-03-13,1993-07-01,64.10093
2026-03-13,2026-03-13,1993-10-01,64.66861
2026-03-13,2026-03-13,1994-01-01,64.30709
2026-03-13,2026-03-13,1994-04-01,64.10716
2026-03-13,2026-03-13,1994-07-01,64.01176
2026-03-13,2026-03-13,1994-10-01,64.38584
2026-03-13,2026-03-13,1995-01-01,64.66271
2026-03-13,2026-03-13,1995-04-01,65.31294
2026-03-13,2026-03-13,1995-07-01,64.73906
2026-03-13,2026-03-13,1995-10-01,64.18282
2026-03-13,2026-03-13,1996-01-01,65.04171
2026-03-13,2026-03-13,1996-04-01,64.2497
2026-03-13,2026-03-13,1996-07-01,64.25469
2026-03-13,2026-03-13,1996-10-01,64.44697
2026-03-13,2026-03-13,1997-01-01,64.34428
2026-03-13,2026-03-13,1997-04-01,63.10907
2026-03-13,2026-03-13,1997-07-01,62.48709
2026-03-13,2026-03-13,1997-10-01,62.77032
2026-03-13,2026-03-13,1998-01-01,62.50988
2026-03-13,2026-03-13,1998-04-01,61.85196
2026-03-13,2026-03-13,1998-07-01,60.58693
2026-03-13,2026-03-13,1998-10-01,60.40696
2026-03-13,2026-03-13,1999-01-01,60.04894
2026-03-13,2026-03-13,1999-04-01,59.19227
2026-03-13,2026-03-13,1999-07-01,58.39258
2026-03-13,2026-03-13,1999-10-01,58.34336
2026-03-13,2026-03-13,2000-01-01,57.72134
2026-03-13,2026-03-13,2000-04-01,55.48491
2026-03-13,2026-03-13,2000-07-01,54.99213
2026-03-13,2026-03-13,2000-10-01,54.2579
2026-03-13,2026-03-13,2001-01-01,55.14434
2026-03-13,2026-03-13,2001-04-01,54.03165
2026-03-13,2026-03-13,2001-07-01,54.79763
2026-03-13,2026-03-13,2001-10-01,55.75216
2026-03-13,2026-03-13,2002-01-01,55.6965
2026-03-13,2026-03-13,2002-04-01,56.27087
