date,asset,teacher_panel,feature_group,source_frequency,label_source,feature_source,excess_return,excess_return_source,n_daily_obs,ewm_return_3m,ewm_return_6m,ewm_return_12m,log_downside_1m,log_downside_3m,log_downside_6m,log_downside_12m,sharpe_3m,sharpe_6m,sharpe_12m,realized_vol_6m
1976-01-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,,monthly_rf,,,,,,,,,,,,
1976-02-29,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.004152721922510885,monthly_rf,,,,,,,,,,,,
1976-03-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.00797429906542058,monthly_rf,,,,,,,,,,,,
1976-04-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0013796055796055735,monthly_rf,,,,,,,,,,,,
1976-05-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.012788300009566619,monthly_rf,,0.0007003821073890324,,,-4.705798177987747,-5.148437791904215,,,-0.1321600791619902,,,
1976-06-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.009891928943811494,monthly_rf,,0.0025965933851354976,,,-5.052371768221913,-5.2639623219764555,,,-0.05404687044360243,,,
1976-07-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.007008710138029543,monthly_rf,,0.00350681075055428,,,-5.398945358437106,-5.3794868520461145,,,0.13597742880488597,,,
1976-08-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.013677305231464026,monthly_rf,,0.005604978412447576,0.004702910251741518,,-5.745518948625466,-5.495011382112875,-5.640250701082328,,3.732566865807815,0.528113223242583,,0.008566202520908986
1976-09-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.009373340728415516,monthly_rf,,0.006382389576133102,0.005212460203583077,,-6.092092538775878,-5.610535912176383,-5.69801296611225,,3.6296331347772726,0.5483500325787124,,0.008675295253241462
1976-10-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0066595513814169316,monthly_rf,,0.006439567910780453,0.005370339706052557,,-6.438666128872625,-5.72606044223624,-5.755775231141175,,3.4274946368096844,0.6589219403972031,,0.008555018517375234
1976-11-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.020176815516463668,monthly_rf,,0.009273554866259085,0.0069857451967924675,,-6.785239718893477,-5.841584972291997,-5.8135374961690465,,2.067283629483429,2.392097094793198,,0.004653354307859768
1976-12-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.014233066149916155,monthly_rf,,0.010296699435453461,0.00777643720282664,,-7.131813308806999,-5.9571095023431555,-5.8712997611958,,2.4747686229301418,2.5004479748615753,,0.004741069723358993
1977-01-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.022804152249134964,monthly_rf,,0.0034680111434445453,0.004440055693593609,,-4.126772385144378,-4.545855560410989,-4.829748081687251,,0.20343881605105416,0.4942810287616783,,0.013931321236114196
1977-02-28,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0002925560063503116,monthly_rf,,0.0028129164189009165,0.003987558161202823,0.00424831476799346,-4.473345975398678,-4.661380090492773,-4.88751034672647,-5.1594010655361595,-0.18067163979712805,0.3389172402037571,0.40095176438120184,0.0137354955812624
1977-03-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0036685879975397995,monthly_rf,,0.0029894410155044734,0.003952758107472202,0.0042157772045449265,-4.819919565642345,-4.776904620573142,-4.945272611765246,-5.188282198054391,-0.5338880708816864,0.27293516759424696,0.37104234854267837,0.01357246911835409
1977-04-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.005270294784580657,monthly_rf,,0.0034599799483720733,0.0040965030478418525,0.004274962728513669,-5.166493155870974,-4.892429150651926,-5.003034876803553,-5.217163330572472,1.4831474081877511,0.25664313169199543,0.4005453512188663,0.013531869504813032
1977-05-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0032144338807261006,monthly_rf,,0.0034093239237700363,0.004000268171020641,0.0042154398180107005,-5.513066746078335,-5.007953680728929,-5.060797141841363,-5.246044463090399,4.594084847486404,0.05694178138193348,0.5812696354924572,0.011341369130593573
1977-06-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.010163090128755495,monthly_rf,,0.004802622339484899,0.004672639946482378,0.0045492557796301914,-5.85964033625562,-5.123478210803933,-5.118559406878647,-5.274925595608169,2.1327490976745596,-0.0030671878200444077,0.5829706166493668,0.010606319893889585
1977-07-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.004792467202708446,monthly_rf,,0.002823160413794947,0.0036399846235666195,0.004024945156509216,-5.535673798640233,-5.161215904371628,-5.138521463623373,-5.278397233319077,0.4683093553143754,0.6505553079485263,0.4671011783064298,0.004564432717110419
1977-08-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.00516978319783186,monthly_rf,,0.0033072674598554896,0.0038068876090060384,0.004089199978446593,-5.882247388815171,-5.276740434443598,-5.1962837286599,-5.307278365836663,0.5651483162254539,0.8503073624780644,0.41285797119703316,0.004448141104232972
1977-09-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.0043,monthly_rf,,0.001737892184189029,0.0029224157789712797,0.003618350363605556,-5.620195096557329,-5.307765756452216,-5.21841904111513,-5.314259105685699,-0.2852082410583061,0.45646250084569384,0.29775598409720455,0.00537654051872295
1977-10-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.010184791544333478,monthly_rf,,-0.0007217511978630958,0.0014924026583983982,0.002843639536870358,-4.873828242843067,-5.05255083988546,-5.096268712909767,-5.229685056200474,-0.49089596099026656,-0.017638270422910104,0.15387838481752605,0.006897421743749079
1977-11-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.003939112835216756,monthly_rf,,0.0002397826006209048,0.0017593418750283581,0.0029051237286789014,-5.220401833068852,-5.168075369959628,-5.154030977946713,-5.2585661887183335,-0.6068371994042658,-0.00012624407027028906,0.03424911089727644,0.0069608355013791815
1977-12-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.009329956536275536,monthly_rf,,-0.0017344495497902054,0.000549485203430804,0.0022184214394136864,-4.876397960669168,-5.019026476503,-5.073160023398994,-5.199957218237628,-0.802949277243537,-0.5478504257367457,-0.18772279778646483,0.005931764806291343
1978-01-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.007250768197464492,monthly_rf,,-0.0028724631853095125,-0.00030153244143705084,0.0016869566626965136,-4.900891911449379,-4.998520957527627,-5.054923522134532,-5.179949925853558,-0.7231401323788462,-0.5992690112679233,-0.05451882924184995,0.006106500816990862
1978-02-28,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.0007289236724732986,monthly_rf,,-0.0024302521112791026,-0.0003481613725986839,0.0015513637184063273,-5.242688904258964,-5.112531306093015,-5.111886616945625,-5.208332618850534,-1.5746768047502346,-0.9329694199525038,-0.06799457087231087,0.004976105774747742
1978-03-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.002114485707100406,monthly_rf,,-0.002365109668185145,-0.0005408696216727339,0.0013456153997943431,-5.5150475295904595,-5.212278302324314,-5.162162808012811,-5.232791886734526,-1.1993475207109046,-0.8443446875423108,-0.14675793359208464,0.005067009006334286
1978-04-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.003979426756914801,monthly_rf,,-0.002698142434484952,-0.0009160206128753263,0.0010467437487500853,-5.520799049850724,-5.262896573657866,-5.191224788404232,-5.245420292468628,-1.7076548629414856,-0.7480824946926012,-0.28194105813337184,0.004336519962396555
1978-05-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.009606008010680907,monthly_rf,,-0.00412323146942672,-0.0018641093773202127,0.00044885073442072225,-4.911892064790568,-5.0591388003853925,-5.093460596206492,-5.184206093285274,-1.64345879112168,-1.597855981286873,-0.4479713565557908,0.0034431105658572596
1978-06-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.005651466890192842,monthly_rf,,-0.004438505632903239,-0.002277314936835433,0.00010646621487930721,-5.02664751454555,-5.081085696742421,-5.101816379717842,-5.183732822315433,-2.717994915100807,-1.6258809776828922,-0.8524742299604492,0.0030066857729926775
1978-07-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.005802699756854151,monthly_rf,,-0.0023257503477074875,-0.0013957749763090052,0.00042617123754823665,-5.373221104762387,-5.196610226816035,-5.159578644754734,-5.212613954833538,-0.4823208250191733,-0.5728629800723704,-0.5809190155712525,0.004735748874019449
1978-08-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.010233540578628957,monthly_rf,,0.00026522476440838847,-0.00012700174211478202,0.0009766165826008786,-5.719794694953074,-5.312134756887236,-5.217340909791044,-5.24149508735149,0.517197349161671,-0.1300929095087698,-0.4420996489145894,0.006809424444800338
1978-09-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.00660803003101042,monthly_rf,,-0.0011527240846637753,-0.0008340902362020198,0.0005509230783454788,-5.255898856168007,-5.236148393321147,-5.191534860898358,-5.226048752238422,0.44088980279094053,-0.22888609295045423,-0.4669404416424237,0.007142338229978425
1978-10-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.020923601926687824,monthly_rf,,-0.005231445784305952,-0.0030258817135686606,-0.000654349397396174,-4.1832987593846,-4.545004971167082,-4.746753576110025,-4.933694078479107,-0.45281384943975567,-0.43694647240138934,-0.48977681403962625,0.010204478965671945
1978-11-30,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.0027714474991719145,monthly_rf,,-0.003580453109319088,-0.002393385665096206,-0.00046207419196336885,-4.529872349637408,-4.660529501248875,-4.804515841149836,-4.962575210998367,-0.8470947845211695,-0.23474238381386098,-0.5079839350996537,0.01020651574026969
1978-12-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,-0.017394882729211053,monthly_rf,,-0.006430362673732473,-0.004030068224605073,-0.0014124397093456826,-4.23559082609402,-4.460802599944459,-4.642483418833266,-4.8348802781537,-1.1351678916414176,-0.3731815759325209,-0.5422135174386014,0.01166493227179844
1979-01-31,bond,bond_monthly_return_downside_sharpe_vol,return_downside_sharpe_vol,monthly,monthly_sjm,monthly_only,0.011013256603461126,monthly_rf,,-0.0028317531919138162,-0.00238882220243179,-0.0007150389633808541,-4.582164416345369,-4.576327130027183,-4.700245683873756,-4.863761410673344,-0.10084334534490332,-0.2776855264999441,-0.3264581073120856,0.012549129626066047
