scenario_id,strategy,family,allocation_pair,budget_mode,n_months,first_date,last_date,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,avg_monthly_turnover,ann_turnover,avg_tcost_paid_monthly,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,gamma,tau,tcost_one_way,prob_smooth_halflife,shrink_k,strategy_name,feature_design,lambda_turnover,effective_trade_penalty,max_monthly_turnover,both_good_n,equity_good_only_n,bond_good_only_n,both_bad_n,both_good_avg_eq,both_good_avg_bd,both_good_avg_cash,equity_good_only_avg_eq,equity_good_only_avg_bd,equity_good_only_avg_cash,bond_good_only_avg_eq,bond_good_only_avg_bd,bond_good_only_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_bad_avg_cash
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.0471242333703092,0.05782409440265458,0.8149584331085663,-0.12785235505892367,-0.052008457850254014,368.5312276716616,0.061565217391304355,0.7387826086956523,3.0782608695652175e-05,0.0003693913043478261,0.3471884057971015,0.5830724637681161,0.0697391304347826,3.0,1.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0015,1.0,163,88,69,25,0.4229447852760736,0.5770552147239264,-9.535657880216069e-18,0.5693181818181818,0.3518181818181818,0.07886363636363634,0.0017391304347826085,0.9915942028985507,0.006666666666666666,0.024800000000000003,0.3088,0.6664
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.0471242333703092,0.05782409440265458,0.8149584331085663,-0.12785235505892367,-0.052008457850254014,368.5312276716616,0.061565217391304355,0.7387826086956523,3.0782608695652175e-05,0.0003693913043478261,0.3471884057971015,0.5830724637681161,0.0697391304347826,3.0,3.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0015,1.0,163,88,69,25,0.4229447852760736,0.5770552147239264,-9.535657880216069e-18,0.5693181818181818,0.3518181818181818,0.07886363636363634,0.0017391304347826085,0.9915942028985507,0.006666666666666666,0.024800000000000003,0.3088,0.6664
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0005,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.04675484206596138,0.05780972450231051,0.8087712312846725,-0.128499238842404,-0.05202095785025401,364.6611701391149,0.061565217391304355,0.7387826086956523,6.156521739130435e-05,0.0007387826086956522,0.3471884057971015,0.5830724637681161,0.0697391304347826,3.0,1.0,0.001,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0005,z_smooth_only,0.0005,0.0015,1.0,163,88,69,25,0.4229447852760736,0.5770552147239264,-9.535657880216069e-18,0.5693181818181818,0.3518181818181818,0.07886363636363634,0.0017391304347826085,0.9915942028985507,0.006666666666666666,0.024800000000000003,0.3088,0.6664
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p0005,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.048022406020107614,0.06092170903051362,0.7882642621869785,-0.1179098318517946,-0.05868107327734404,376.1081346295946,0.08197101449275362,0.9836521739130435,4.0985507246376814e-05,0.0004918260869565217,0.36892753623188407,0.5588985507246377,0.07217391304347825,3.0,1.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p0005,z_smooth_only,0.0005,0.001,1.0,163,88,69,25,0.4543558282208589,0.545644171779141,-9.535657880216069e-18,0.5988636363636364,0.3195454545454545,0.08159090909090909,0.0,0.9991304347826087,0.0008695652173913035,0.0208,0.2728,0.7064
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g5p0__tau1p0__c0p0005__phl0p0__l10p0005,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.04388341905301843,0.05609682326138375,0.782279931406154,-0.07328522133004611,-0.05127891915227409,336.8157571818175,0.18156521739130435,2.178782608695652,9.078260869565218e-05,0.0010893913043478261,0.3405217391304348,0.4742608695652174,0.18521739130434783,5.0,1.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g5p0__tau1p0__c0p0005__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.001,1.08,162,90,57,36,0.39987654320987653,0.5981481481481482,0.001975308641975284,0.585111111111111,0.082,0.33288888888888885,0.0,0.9915789473684211,0.008421052631578947,0.0011111111111111111,0.07833333333333334,0.9205555555555556
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.047530579933151074,0.06090139733464867,0.7804513855728802,-0.11859862461323345,-0.05870107327734404,370.8600573713406,0.08197101449275362,0.9836521739130435,8.197101449275363e-05,0.0009836521739130435,0.36892753623188407,0.5588985507246377,0.07217391304347825,3.0,1.0,0.001,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0,z_smooth_only,0.0,0.001,1.0,163,88,69,25,0.4543558282208589,0.545644171779141,-9.535657880216069e-18,0.5988636363636364,0.3195454545454545,0.08159090909090909,0.0,0.9991304347826087,0.0008695652173913035,0.0208,0.2728,0.7064
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau5p0__c0p0005__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05192551612079878,0.06658191624572024,0.7798741617644032,-0.11870041278989651,-0.06776175445073006,416.203720648263,0.07431884057971015,0.8918260869565218,3.715942028985507e-05,0.00044591304347826085,0.3656231884057971,0.5477101449275362,0.08666666666666666,3.0,5.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau5p0__c0p0005__phl0p0__l10p001,z_plus_zsmooth,0.001,0.0035,1.1600000000000001,162,90,57,36,0.42567901234567906,0.5687654320987655,0.005555555555555552,0.6257777777777779,0.31022222222222223,0.06399999999999997,0.00456140350877193,0.9585964912280702,0.0368421052631579,0.016666666666666666,0.3961111111111112,0.5872222222222221
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0025,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.049427235704740974,0.0635017957435329,0.7783596530776012,-0.11870041278989663,-0.06408240651282827,389.70317359256677,0.06168115942028986,0.7401739130434783,3.084057971014493e-05,0.00037008695652173914,0.3232463768115942,0.5939130434782608,0.08284057971014493,3.0,3.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p0005__phl0p0__l10p0025,z_plus_zsmooth,0.0025,0.004,1.12,162,90,57,36,0.37419753086419755,0.6112345679012345,0.014567901234567887,0.5517777777777778,0.39044444444444437,0.05777777777777777,0.008070175438596491,0.9466666666666667,0.045263157894736845,0.02166666666666667,0.46611111111111125,0.512222222222222
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p0005__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.08082996880235131,0.1043653750269161,0.7744902826392858,-0.1633682353450001,-0.09719675000000001,867.1985152095153,0.152231884057971,1.826782608695652,7.611594202898551e-05,0.0009133913043478262,0.6975072463768116,0.21768115942028984,0.08481159420289855,0.5,1.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0005,2.0,149,107,55,34,0.8919463087248323,0.1080536912751678,-2.514766918194566e-18,0.997570093457944,0.0,0.002429906542056075,0.0,1.0,0.0,0.029411764705882353,0.11764705882352941,0.8529411764705882
z_plus_zsmooth,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p0005,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.04524901846591655,0.058485726883074816,0.7736762604725557,-0.11692433001597125,-0.057778987545883,348.81898940043754,0.09785507246376814,1.1742608695652177,4.892753623188406e-05,0.0005871304347826087,0.34863768115942023,0.5794782608695652,0.0718840579710145,3.0,1.0,0.0005,0.0,36.0,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.001,1.0,165,83,72,25,0.44206060606060615,0.5579393939393938,3.0278809762504268e-18,0.5600000000000002,0.356144578313253,0.08385542168674699,0.005555555555555556,0.9944444444444444,0.0,0.0184,0.268,0.7136
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0025,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05147960307732051,0.06657648342039925,0.7732400456216795,-0.11870041278989663,-0.06776175445073006,410.9277437056747,0.07431884057971015,0.8918260869565218,7.431884057971014e-05,0.0008918260869565217,0.3656231884057971,0.5477101449275362,0.08666666666666666,3.0,1.0,0.001,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p001__phl0p0__l10p0025,z_plus_zsmooth,0.0025,0.0035,1.1600000000000001,162,90,57,36,0.42567901234567906,0.5687654320987655,0.005555555555555552,0.6257777777777779,0.31022222222222223,0.06399999999999997,0.00456140350877193,0.9585964912280702,0.0368421052631579,0.016666666666666666,0.3961111111111112,0.5872222222222221
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p001__phl0p0__l10p0005,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05147960307732051,0.06657648342039925,0.7732400456216795,-0.11870041278989663,-0.06776175445073006,410.9277437056747,0.07431884057971015,0.8918260869565218,7.431884057971014e-05,0.0008918260869565217,0.3656231884057971,0.5477101449275362,0.08666666666666666,3.0,3.0,0.001,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau3p0__c0p001__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.0035,1.1600000000000001,162,90,57,36,0.42567901234567906,0.5687654320987655,0.005555555555555552,0.6257777777777779,0.31022222222222223,0.06399999999999997,0.00456140350877193,0.9585964912280702,0.0368421052631579,0.016666666666666666,0.3961111111111112,0.5872222222222221
