Feature,Sep,Calm,Normal,Stressed
eq_sortino_4,2.62,1.72,-0.13,-0.9
eq_sortino_2,2.54,1.72,-0.12,-0.82
eq_ma_cross,2.3,0.89,-0.04,-1.41
eq_sortino_1,2.17,1.56,-0.1,-0.61
eq_dd_diff,2.08,-1.05,0.01,1.03
eq_trend,2.02,0.82,-0.09,-1.2
eq_sortino_l,1.99,1.6,-0.07,-0.39
bd_trend,1.6,-0.09,0.07,-1.52
bd_sortino_l,1.43,-0.06,0.14,-1.3
eq_dd_lvl,1.41,-1.18,0.24,0.22
bd_dd_lvl,1.29,-0.45,-0.31,0.84
bd_sortino_4,1.25,-0.13,0.12,-1.13
bd_ma_cross,1.05,-0.11,0.1,-0.95
bd_dd_diff,1.02,0.05,-0.04,0.98
bd_sortino_2,0.95,-0.17,0.08,-0.87
bd_sortino_1,0.62,-0.23,0.05,-0.58
