Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,4.8\%,6.1\%,0.78,-11.9\%,-5.9\%,370.86,98.4\%
0.0005,4.7\%,5.8\%,0.81,-12.8\%,-5.2\%,364.66,73.9\%
0.001,4.4\%,5.8\%,0.77,-14.9\%,-5.5\%,341.89,59.8\%
0.0025,3.5\%,6.1\%,0.58,-18.3\%,-6.4\%,261.50,30.2\%
0.005,1.8\%,5.2\%,0.35,-17.1\%,-5.9\%,162.19,20.2\%
0.0075,0.3\%,2.7\%,0.12,-18.4\%,-3.3\%,108.88,6.3\%
0.01,0.1\%,0.3\%,0.35,-1.7\%,-0.3\%,103.05,0.1\%
0.015,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.02,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.03,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.05,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
