strategy,strategy_name,feature_design,family,allocation_pair,budget_mode,gamma,tau,tcost_one_way,lambda_turnover,effective_trade_penalty,prob_smooth_halflife,n_months,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,benchmark_ann_return,benchmark_ann_vol,benchmark_sharpe,benchmark_max_drawdown,ann_turnover,avg_monthly_turnover,max_monthly_turnover,avg_monthly_tcost_paid,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,both_bad_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_good_avg_eq,both_good_avg_bd,equity_good_only_avg_eq,bond_good_only_avg_bd
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau3__l10p001__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau3__l10p001__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,5.0,3.0,0.0005,0.001,0.0025,0.0,345,0.05755350272751425,0.08244198131670248,0.698109164873432,-0.23331662165964973,-0.07285109940419608,500.82634717106913,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.9850434782608695,0.08208695652173913,1.52,4.1043478260869574e-05,0.0004925217391304349,0.4972173913043479,0.49472463768115943,0.008057971014492758,0.0009090909090909098,0.20818181818181822,0.7909090909090911,0.5930718954248366,0.40379084967320256,0.6185046728971962,0.8406349206349206
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau5__l10__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g5__tau5__l10__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,5.0,5.0,0.0005,0.0,0.0025,0.0,345,0.05755350272751425,0.08244198131670248,0.698109164873432,-0.23331662165964973,-0.07285109940419608,500.82634717106913,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,0.9850434782608695,0.08208695652173913,1.52,4.1043478260869574e-05,0.0004925217391304349,0.4972173913043479,0.49472463768115943,0.008057971014492758,0.0009090909090909098,0.20818181818181822,0.7909090909090911,0.5930718954248366,0.40379084967320256,0.6185046728971962,0.8406349206349206
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p0005__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p0005__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.5,1.0,0.0005,0.0005,0.001,0.0,345,0.07662860818221673,0.11153305073751206,0.6870484369925347,-0.2393944671389353,-0.10441700000000001,837.9215704218595,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.8337391304347825,0.15281159420289855,2.0,7.640579710144928e-05,0.0009168695652173914,0.7520579710144929,0.2479420289855072,3.2180377525366857e-19,0.0,0.22727272727272727,0.7727272727272727,0.9199999999999999,0.08,0.9269158878504673,0.7695238095238096
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p0005__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,1.0,0.0005,0.0005,0.001,0.0,345,0.07670312060875561,0.11201136003137772,0.6847798347173785,-0.24440836525627785,-0.10441700000000001,839.5904350503394,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.7419130434782608,0.14515942028985507,2.0,7.257971014492753e-05,0.0008709565217391304,0.756927536231884,0.24307246376811595,0.0,0.0,0.22727272727272727,0.7727272727272727,0.9247058823529413,0.07529411764705882,0.931588785046729,0.7622222222222221
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.5,1.0,0.0005,0.001,0.0015,0.0,345,0.07695545804049164,0.112804961838922,0.6821992294131435,-0.26369440977178327,-0.104342,845.2659322676748,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.4970434782608697,0.12475362318840581,2.0,6.23768115942029e-05,0.0007485217391304347,0.7666666666666667,0.23333333333333334,2.4135283144025142e-19,0.0,0.2545454545454545,0.7454545454545454,0.9300653594771242,0.06993464052287582,0.9357009345794393,0.7384126984126983
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau3__l10__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p5__tau3__l10__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.5,3.0,0.0005,0.0,0.0015,0.0,345,0.07695545804049164,0.112804961838922,0.6821992294131435,-0.26369440977178327,-0.104342,845.2659322676748,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.4970434782608697,0.12475362318840581,2.0,6.23768115942029e-05,0.0007485217391304347,0.7666666666666667,0.23333333333333334,2.4135283144025142e-19,0.0,0.2545454545454545,0.7454545454545454,0.9300653594771242,0.06993464052287582,0.9357009345794393,0.7384126984126983
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,1.0,0.0005,0.001,0.0015,0.0,345,0.07631037530191742,0.111861506554562,0.6821861930198122,-0.252008807553867,-0.104377,830.8300352310596,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.647304347826087,0.13727536231884058,2.0,6.863768115942029e-05,0.0008236521739130435,0.7534492753623189,0.24655072463768116,1.0659750055277772e-18,0.0,0.24181818181818182,0.7581818181818182,0.9218300653594771,0.07816993464052288,0.9173831775700935,0.7552380952380953
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau3__l10__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g1__tau3__l10__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,1.0,3.0,0.0005,0.0,0.0015,0.0,345,0.07631037530191742,0.111861506554562,0.6821861930198122,-0.252008807553867,-0.104377,830.8300352310596,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.647304347826087,0.13727536231884058,2.0,6.863768115942029e-05,0.0008236521739130435,0.7534492753623189,0.24655072463768116,1.0659750055277772e-18,0.0,0.24181818181818182,0.7581818181818182,0.9218300653594771,0.07816993464052288,0.9173831775700935,0.7552380952380953
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau1__l10p001__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,1.0,0.0005,0.001,0.0015,0.0,345,0.07761947373947109,0.11401198782392077,0.6808009861151267,-0.27548662661583734,-0.104272,860.3782712041152,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.4024347826086956,0.11686956521739131,2.0,5.8434782608695646e-05,0.0007012173913043477,0.7743768115942028,0.22562318840579712,4.022547190670857e-19,0.0,0.27636363636363637,0.7236363636363636,0.9335947712418301,0.06640522875816994,0.9446728971962617,0.7276190476190477
z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau3__l10__c0p0005__phl0,z_plus_zsmooth__LOGIT__return_sortino_vs_bond__cash_allowed__g0p25__tau3__l10__c0p0005__phl0,z_plus_zsmooth,LOGIT,return_sortino_vs_bond,cash_allowed,0.25,3.0,0.0005,0.0,0.0015,0.0,345,0.07761947373947109,0.11401198782392077,0.6808009861151267,-0.27548662661583734,-0.104272,860.3782712041152,0.04577156368373059,0.09626899588263856,0.47545487790825885,-0.3606110644992979,1.4024347826086956,0.11686956521739131,2.0,5.8434782608695646e-05,0.0007012173913043477,0.7743768115942028,0.22562318840579712,4.022547190670857e-19,0.0,0.27636363636363637,0.7236363636363636,0.9335947712418301,0.06640522875816994,0.9446728971962617,0.7276190476190477
