scenario_id,strategy,family,allocation_pair,budget_mode,n_months,first_date,last_date,ann_return,ann_vol,sharpe,max_drawdown,cvar_1pct_monthly,final_wealth,avg_monthly_turnover,ann_turnover,avg_tcost_paid_monthly,ann_tcost_drag,avg_w_eq,avg_w_bd,avg_w_cash,gamma,tau,tcost_one_way,prob_smooth_halflife,shrink_k,strategy_name,feature_design,lambda_turnover,effective_trade_penalty,max_monthly_turnover,both_good_n,equity_good_only_n,bond_good_only_n,both_bad_n,both_good_avg_eq,both_good_avg_bd,both_good_avg_cash,equity_good_only_avg_eq,equity_good_only_avg_bd,equity_good_only_avg_cash,bond_good_only_avg_eq,bond_good_only_avg_bd,bond_good_only_avg_cash,both_bad_avg_eq,both_bad_avg_bd,both_bad_avg_cash,selection_reason
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p25__tau3p0__c0p0005__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.08288474087368623,0.10780256892352313,0.7688568250399116,-0.20319350045081208,-0.11095075000000001,909.5821307357966,0.10527536231884058,1.2633043478260868,5.2637681159420295e-05,0.0006316521739130436,0.6965217391304348,0.23455072463768117,0.06892753623188407,0.25,3.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p25__tau3p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0015,2.0,149,107,55,34,0.8918120805369127,0.10818791946308726,0.0,0.9914018691588785,0.007476635514018692,0.0011214953271028037,0.0,1.0,0.0,0.039411764705882354,0.2647058823529412,0.6958823529411765,"reference point: z_smooth_only LOGIT g=0.25, tau=3, l1=0"
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p0005__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.08082996880235131,0.1043653750269161,0.7744902826392858,-0.1633682353450001,-0.09719675000000001,867.1985152095153,0.152231884057971,1.826782608695652,7.611594202898551e-05,0.0009133913043478262,0.6975072463768116,0.21768115942028984,0.08481159420289855,0.5,1.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p5__tau1p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0005,2.0,149,107,55,34,0.8919463087248323,0.1080536912751678,-2.514766918194566e-18,0.997570093457944,0.0,0.002429906542056075,0.0,1.0,0.0,0.029411764705882353,0.11764705882352941,0.8529411764705882,"reference point: z_smooth_only LOGIT g=0.5, tau=1, l1=0"
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p0,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.07968707162252663,0.10334451460114374,0.7710817737165577,-0.16336823534500022,-0.09719675000000001,841.8860569410244,0.15142028985507247,1.8170434782608695,7.571014492753623e-05,0.0009085217391304348,0.6832463768115942,0.22701449275362318,0.08973913043478261,1.0,1.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p0,z_smooth_only,0.0,0.0005,2.0,149,107,55,34,0.8707382550335571,0.12926174496644294,-7.916858816538449e-19,0.9852336448598131,0.0005607476635514019,0.014205607476635514,0.0,1.0,0.0,0.01647058823529412,0.11764705882352941,0.8658823529411764,"reference point: z_smooth_only LOGIT g=1, tau=1, l1=0"
z_plus_zsmooth,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau5p0__c0p0005__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05192551612079878,0.06658191624572024,0.7798741617644032,-0.11870041278989651,-0.06776175445073006,416.203720648263,0.07431884057971015,0.8918260869565218,3.715942028985507e-05,0.00044591304347826085,0.3656231884057971,0.5477101449275362,0.08666666666666666,3.0,5.0,0.0005,0.0,36.0,z_plus_zsmooth__LOGIT_return_sortino_vs_bond__cash_allowed__g3p0__tau5p0__c0p0005__phl0p0__l10p001,z_plus_zsmooth,0.001,0.0035,1.1600000000000001,162,90,57,36,0.42567901234567906,0.5687654320987655,0.005555555555555552,0.6257777777777779,0.31022222222222223,0.06399999999999997,0.00456140350877193,0.9585964912280702,0.0368421052631579,0.016666666666666666,0.3961111111111112,0.5872222222222221,"reference point: z_plus_zsmooth LOGIT g=3, tau=5, l1=0.001"
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau3p0__c0p0005__phl0p0__l10p001,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.05161297100642555,0.07809441603345238,0.6609047564209547,-0.16554708700448095,-0.08281956837099784,402.6302086214505,0.05344927536231883,0.641391304347826,2.6724637681159416e-05,0.000320695652173913,0.4184347826086957,0.5173913043478261,0.06417391304347825,2.0,3.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau3p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0025,1.0,163,88,69,25,0.5192638036809816,0.4763190184049081,0.00441717791411041,0.6468181818181818,0.3025,0.05068181818181817,0.020869565217391306,0.9327536231884058,0.04637681159420289,0.054400000000000004,0.39520000000000005,0.5504,"reference point: z_smooth_only RF g=2, tau=3, l1=0.001"
z_plus_zsmooth,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau3p0__c0p0005__phl0p0__l10p0005,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.04794139488008212,0.06525376728727787,0.7346916028467977,-0.16727035772030407,-0.06232217763488464,372.30771229279355,0.0655072463768116,0.7860869565217392,3.27536231884058e-05,0.00039304347826086964,0.4051014492753623,0.5427246376811594,0.05217391304347825,2.0,3.0,0.0005,0.0,36.0,z_plus_zsmooth__RF_return_sortino_vs_bond__cash_allowed__g2p0__tau3p0__c0p0005__phl0p0__l10p0005,z_plus_zsmooth,0.0005,0.002,1.0,165,83,72,25,0.4978181818181819,0.5021818181818182,-1.606459073510643e-17,0.6602409638554217,0.3091566265060241,0.030602409638554196,0.025833333333333333,0.9741666666666668,0.0,0.0384,0.34319999999999995,0.6184000000000001,"reference point: z_plus_zsmooth RF g=2, tau=3, l1=0.0005"
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.0471242333703092,0.05782409440265458,0.8149584331085663,-0.12785235505892367,-0.052008457850254014,368.5312276716616,0.061565217391304355,0.7387826086956523,3.0782608695652175e-05,0.0003693913043478261,0.3471884057971015,0.5830724637681161,0.0697391304347826,3.0,1.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g3p0__tau1p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0015,1.0,163,88,69,25,0.4229447852760736,0.5770552147239264,-9.535657880216069e-18,0.5693181818181818,0.3518181818181818,0.07886363636363634,0.0017391304347826085,0.9915942028985507,0.006666666666666666,0.024800000000000003,0.3088,0.6664,best Sharpe in economic universe
z_smooth_only,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p25__tau1p0__c0p0005__phl0p0__l10p001,LOGIT,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.08288474087368623,0.10780256892352313,0.7688568250399116,-0.20319350045081208,-0.11095075000000001,909.5821307357966,0.10527536231884058,1.2633043478260868,5.2637681159420295e-05,0.0006316521739130436,0.6965217391304348,0.23455072463768117,0.06892753623188407,0.25,1.0,0.0005,0.0,36.0,z_smooth_only__LOGIT_return_sortino_vs_bond__cash_allowed__g0p25__tau1p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0015,2.0,149,107,55,34,0.8918120805369127,0.10818791946308726,0.0,0.9914018691588785,0.007476635514018692,0.0011214953271028037,0.0,1.0,0.0,0.039411764705882354,0.2647058823529412,0.6958823529411765,highest return with annual turnover <= 1.5
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g0p25__tau1p0__c0p0005__phl0p0__l10p001,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.06747865401905474,0.10589873676672225,0.6371998012374714,-0.19336129400387614,-0.1021335,589.01546886286,0.09472463768115942,1.136695652173913,4.736231884057971e-05,0.0005683478260869565,0.666840579710145,0.27878260869565213,0.05437681159420289,0.25,1.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g0p25__tau1p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0015,2.0,163,88,69,25,0.8521472392638035,0.14785276073619633,-6.811184200154335e-19,0.9913636363636364,0.0,0.008636363636363636,0.027826086956521737,0.9721739130434782,0.0,0.08,0.2,0.72,sweep gamma = 0.25
z_smooth_only,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p001,RF,return_sortino_vs_bond,cash_allowed,345,1996-02-29,2024-10-31,0.0657549710208618,0.0990566378406414,0.663811860106194,-0.1792003144083616,-0.09731495065954418,572.0429869710118,0.08753623188405796,1.0504347826086955,4.3768115942028986e-05,0.0005252173913043478,0.628231884057971,0.3137391304347826,0.058028985507246375,1.0,1.0,0.0005,0.0,36.0,z_smooth_only__RF_return_sortino_vs_bond__cash_allowed__g1p0__tau1p0__c0p0005__phl0p0__l10p001,z_smooth_only,0.001,0.0015,2.0,163,88,69,25,0.796441717791411,0.20355828220858896,-6.938893903907228e-18,0.9600000000000001,0.0175,0.022499999999999996,0.006956521739130434,0.9930434782608695,0.0,0.0784,0.2,0.7216,sweep gamma = 1
