asset,feature_group,model_family,feature,n_paths,median_rank,mean_rank,best_rank,worst_rank,median_sep,mean_sep,min_sep,max_sep,median_abs_gap,median_bcss,positive_gap_share,negative_gap_share,dominant_direction,direction_consistency
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,sharpe_12m,15,1.0,1.0,1,1,2.25109554534807,2.2497827989021384,2.1962152068509857,2.278239529811606,1.4949695888699996,329.41642467190377,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,sharpe_6m,15,2.0,2.0,2,2,1.9757930150380314,1.9773058683749127,1.9437908184468284,1.9943439230552131,1.3779194574395748,279.85186046871553,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,log_downside_3m,15,3.0,3.0,3,3,1.9388176207214585,1.9324756764893862,1.869482467565385,1.9417883273073533,1.3929626777832724,285.8971987976096,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,log_downside_1m,15,4.0,4.2,4,5,1.9294189147571466,1.9062659155647517,1.7718743898118685,1.933624820649136,1.382927113148963,281.88964033605856,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,ewm_return_6m,15,5.0,4.8,4,5,1.8956867979431824,1.8872428956034168,1.8447076077626208,1.898882636038704,1.3413483066034844,265.19398140168903,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,ewm_return_3m,15,6.0,6.2,6,7,1.7362999786899003,1.7235551864151424,1.6725570930602447,1.7410602854870356,1.2615797902682693,234.59026148892244,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,ewm_return_12m,15,7.0,6.8,6,7,1.7053899853369097,1.7009679230672323,1.6733678058784027,1.7102974527160593,1.2760880649452264,240.0169023495201,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,log_downside_6m,15,8.0,8.0,8,8,1.6232670432718974,1.6241068707203172,1.6012824271988944,1.6537133309340621,1.2635306442150476,235.316343481402,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,log_downside_12m,15,9.0,9.133333333333333,9,10,1.2331315612309064,1.2382127634539453,1.2223226404068086,1.2787413580834248,1.0537422756087338,163.66256034249727,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,sharpe_3m,15,10.0,9.866666666666667,9,10,1.2209144184986838,1.2082327361605603,1.1556243306115768,1.2249412860235487,0.9423457873296814,130.88838820007524,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,realized_vol_6m,15,11.0,11.0,11,11,0.8407186583109588,0.8418225468707344,0.8288019991911943,0.8544636023253755,0.6745473144299998,67.06645762596551,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,sharpe_12m,15,1.0,1.0,1,1,2.1406320158684977,2.1523981748040897,2.1406320158684977,2.191243954701189,1.4616478255853127,309.7258593606756,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,sharpe_6m,15,2.0,2.466666666666667,2,4,1.9969983603150756,1.9897487432319627,1.9649942342285003,2.003063674990351,1.3837003044223342,277.572252624435,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,log_downside_3m,15,3.0,2.6666666666666665,2,3,1.9941124218863933,1.9955546386578022,1.9673375308201018,2.0171376512349273,1.4178726693262642,291.4515969919963,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,log_downside_1m,15,4.0,3.933333333333333,3,5,1.9936697364122178,1.9704780214506903,1.86114152414921,1.9936697364122178,1.3990781925738829,283.7761886903883,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,ewm_return_6m,15,5.0,4.933333333333334,4,5,1.9121951597195204,1.8987438238277892,1.8477699268517807,1.9121951597195204,1.3612452733012566,268.63633047242627,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,ewm_return_3m,15,6.0,6.066666666666666,6,7,1.7812736305717667,1.7596235342339386,1.6777403979852226,1.7812736305717667,1.2947072090505807,243.0161349477412,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,ewm_return_12m,15,7.0,7.066666666666666,7,8,1.6944493854992657,1.6870206283801052,1.6512492074163765,1.6944493854992657,1.289910688492761,241.21885952924643,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,log_downside_6m,15,8.0,7.866666666666666,6,8,1.6469881109617295,1.654564026086329,1.6422487771804992,1.683579947485577,1.2838308535123613,238.9503077253233,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,sharpe_3m,15,9.0,9.266666666666667,9,10,1.2840273014928265,1.2680114829118347,1.2143518560842061,1.2840273014928265,0.9721785399918379,137.0200233756653,1.0,0.0,higher_in_good,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,log_downside_12m,15,10.0,9.733333333333333,9,10,1.2491034201744091,1.2580444564346593,1.2491034201744091,1.290849969177581,1.0732879331945853,167.0030759602739,0.0,1.0,higher_in_bad,1.0
bond,return_downside_sharpe_vol,standard_l2_jump_model,realized_vol_6m,15,11.0,11.0,11,11,0.8788229483988277,0.8850053345319054,0.8781530113061068,0.914239316192958,0.7157121778684303,74.2623675098698,0.0,1.0,higher_in_bad,1.0
equity,return_sortino,robust_l1_medoids_jump_model,sortino_63d,7,1.0,1.8571428571428572,1,4,2.529073954238499,2.467836600152837,2.196613093125904,2.5834868827409267,1.5792825127519081,7546.514693026631,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,sortino_126d,7,2.0,1.5714285714285714,1,2,2.4905466006266708,2.4963235891892337,2.4373378771130807,2.56804596807923,1.602326801608796,7556.466418752555,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,ewm_return_126d,7,3.0,3.0,2,4,2.3941450932503963,2.377726711572347,2.3142172305703834,2.44934524702826,1.5426667113155896,6933.496942131365,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,ewm_return_63d,7,4.0,4.0,3,6,2.318482932878731,2.2835910921623506,2.089376627135432,2.358289889551594,1.4909327073927465,6772.580892827995,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,sortino_252d,7,5.0,4.714285714285714,3,5,2.080977573113913,2.0892024910717075,1.969544356540357,2.2311677710558158,1.4647131365812318,6357.083221747102,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,ewm_return_252d,7,6.0,5.857142857142857,5,6,1.9907973903271696,1.9879544258595012,1.8806247564839038,2.114814411551332,1.4287906759063493,6049.088778907404,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,sortino_21d,7,7.0,7.0,7,7,1.6200283759032217,1.575708882348165,1.23427625119999,1.8230057725463915,1.246729929600074,4605.719815998231,1.0,0.0,higher_in_good,1.0
equity,return_sortino,robust_l1_medoids_jump_model,ewm_return_21d,7,8.0,8.0,8,8,1.4383553242827933,1.3955181031826083,1.124220277317139,1.5893691843904039,1.1425894813772084,3868.4161428138273,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,sortino_63d,7,2.0,2.0,1,4,2.589253885158939,2.5205723523056363,2.142924686332954,2.6813923358802243,1.6169012142263657,7455.030134550941,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,sortino_126d,7,1.0,1.4285714285714286,1,2,2.550866833475264,2.5575469017529002,2.4973539392436064,2.595538230272218,1.6261696751699701,7550.307407689127,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,ewm_return_126d,7,3.0,3.142857142857143,2,4,2.4391469937421997,2.4462352704578714,2.4178414742700607,2.476453611204161,1.5784733723371538,7075.742382141598,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,ewm_return_63d,7,4.0,3.857142857142857,3,6,2.3996220379738236,2.349827365105917,2.067174697766821,2.47646087461799,1.5529411904971848,6876.895861518909,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,sortino_252d,7,5.0,4.714285714285714,3,5,2.128224681285045,2.121940275234517,2.036545250110796,2.229728080129076,1.4924688869825062,6351.7442270077045,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,ewm_return_252d,7,6.0,5.857142857142857,5,6,2.0316792530574417,2.0263840723660618,1.959029499417952,2.112276491052062,1.4615287115087796,6091.119666918281,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,sortino_21d,7,7.0,7.0,7,7,1.6436676696038308,1.5925216369849677,1.1642949173165387,1.865316757727793,1.2593630883684859,4522.56012319447,1.0,0.0,higher_in_good,1.0
equity,return_sortino,standard_l2_jump_model,ewm_return_21d,7,8.0,8.0,8,8,1.4591355278346672,1.4237600073770282,1.0774269885944034,1.649382216460159,1.1698866422165979,3902.743358869471,1.0,0.0,higher_in_good,1.0
