Label,Model,Lambda,Favorable share,Switches,Average duration,Average favorable duration,Average unfavorable duration,Favorable Sharpe,Unfavorable Sharpe
Equity,L1-medoid,2,74.4%,62,7.0,10.3,3.6,1.12,-0.68
Equity,L1-medoid,4,74.9%,60,7.2,10.7,3.7,1.12,-0.70
Equity,L1-medoid,8,75.1%,60,7.2,10.7,3.7,1.13,-0.72
Equity,L1-medoid,16,74.7%,58,7.5,11.0,3.9,1.11,-0.66
Equity,L1-medoid,32,74.9%,49,8.8,13.2,4.4,1.07,-0.61
Equity,L1-medoid,64,73.5%,37,11.6,17.1,6.2,1.07,-0.55
Equity,L1-medoid,128,74.0%,25,17.0,25.2,8.8,0.86,-0.24
Equity,L2,2,75.1%,58,7.5,11.1,3.8,1.16,-0.79
Equity,L2,4,75.3%,56,7.8,11.5,3.9,1.13,-0.76
Equity,L2,8,75.8%,52,8.3,12.4,4.1,1.11,-0.75
Equity,L2,16,75.6%,50,8.7,12.8,4.3,1.12,-0.76
Equity,L2,32,74.7%,49,8.8,13.2,4.5,1.07,-0.61
Equity,L2,64,72.9%,37,11.6,16.9,6.3,1.04,-0.44
Equity,L2,128,73.3%,27,15.8,23.1,8.4,0.92,-0.31
Bond,L1-medoid,0,64.8%,43,9.8,12.7,6.9,1.99,-0.90
Bond,L1-medoid,1e-05,64.8%,43,9.8,12.7,6.9,1.95,-0.85
Bond,L1-medoid,0.0001,64.8%,43,9.8,12.7,6.9,1.98,-0.88
Bond,L1-medoid,0.001,64.6%,41,10.3,13.3,7.3,1.97,-0.86
Bond,L1-medoid,0.00390625,65.0%,43,9.8,12.8,6.9,1.99,-0.91
Bond,L1-medoid,0.0078125,64.6%,43,9.8,12.7,7.0,1.98,-0.88
Bond,L1-medoid,0.015625,65.0%,43,9.8,12.8,6.9,1.97,-0.88
Bond,L1-medoid,0.03125,64.8%,43,9.8,12.7,6.9,1.98,-0.88
Bond,L1-medoid,0.0625,64.8%,43,9.8,12.7,6.9,1.99,-0.88
Bond,L1-medoid,0.125,64.4%,41,10.3,13.2,7.3,2.00,-0.88
Bond,L1-medoid,0.25,64.8%,43,9.8,12.7,6.9,1.98,-0.89
Bond,L1-medoid,0.5,63.7%,43,9.8,12.5,7.1,2.00,-0.76
Bond,L1-medoid,1,63.7%,39,10.8,13.8,7.8,1.87,-0.63
Bond,L1-medoid,2,63.9%,33,12.7,16.2,9.2,1.74,-0.53
Bond,L1-medoid,4,63.2%,31,13.5,17.1,9.9,1.49,-0.33
Bond,L2,0,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,1e-05,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.0001,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.001,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.00390625,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.0078125,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.015625,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.03125,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.0625,68.1%,41,10.3,14.0,6.6,1.85,-0.95
Bond,L2,0.125,67.8%,41,10.3,14.0,6.6,1.84,-0.93
Bond,L2,0.25,67.6%,41,10.3,13.9,6.7,1.83,-0.91
Bond,L2,0.5,67.1%,39,10.8,14.5,7.1,1.74,-0.81
Bond,L2,1,66.4%,35,12.0,15.9,8.1,1.65,-0.59
Bond,L2,2,67.6%,29,14.4,19.5,9.3,1.57,-0.54
Bond,L2,4,68.5%,29,14.4,19.7,9.1,1.25,-0.25
