Strategy,Turnover penalty,5 bps,10 bps,25 bps
High-return dynamic,0.0,0.7744902826392858,0.7405400548574606,0.6666625498807295
High-return dynamic,0.0005,0.7473068004636942,0.7413574847997074,0.6166539468052745
High-return dynamic,0.001,0.7473025656966052,0.7175945549829522,0.5304755422529027
High-return dynamic,0.0025,0.6384076637477422,0.54722373383269,0.4364429023029066
High-return dynamic,0.005,0.5877873094999201,0.5577546269715239,0.4736811721671801
High-return dynamic,0.01,0.1485943567919217,0.1654032758089473,
Defensive dynamic,0.0,0.7466905508882455,0.7804513855728802,0.6852468655357609
Defensive dynamic,0.0005,0.7882642621869785,0.8087712312846725,0.612404345564198
Defensive dynamic,0.001,0.8149584331085663,0.7723886324058391,0.5715467260751094
Defensive dynamic,0.0025,0.6255012152872272,0.5791054443000834,0.4312052936559288
Defensive dynamic,0.005,0.3806957115604428,0.3480822742590167,0.1995504049261864
Defensive dynamic,0.01,0.1536171314561539,0.3507771146564991,
Low-turnover dynamic,0.0,0.7138838800081129,0.7031161598291834,0.6347375614570557
Low-turnover dynamic,0.0005,0.7081881575891272,0.732314276615943,0.610831899956153
Low-turnover dynamic,0.001,0.7362340863477309,0.6928394964649921,0.5893999661681363
Low-turnover dynamic,0.0025,0.6212247745513689,0.5957511059540571,0.5002823089264777
Low-turnover dynamic,0.005,0.4349227707453678,0.4292022540142836,0.3763534036588712
Low-turnover dynamic,0.01,0.232920631025431,0.3321112954185775,
