Turnover penalty,Ann. return,Ann. vol.,Sharpe,Max. drawdown,Monthly CVaR 1%,Final wealth,Ann. turnover
0.0,7.9\%,10.6\%,0.74,-19.3\%,-10.8\%,814.18,152.1\%
0.0005,7.9\%,10.7\%,0.74,-20.3\%,-11.1\%,820.42,135.5\%
0.001,7.6\%,10.7\%,0.72,-20.3\%,-11.1\%,760.05,125.9\%
0.0025,5.6\%,10.2\%,0.55,-20.3\%,-11.2\%,428.11,114.5\%
0.005,6.3\%,11.2\%,0.56,-23.6\%,-11.3\%,502.79,59.1\%
0.0075,4.9\%,12.1\%,0.40,-39.3\%,-11.7\%,326.37,48.1\%
0.01,0.9\%,5.5\%,0.17,-29.5\%,-5.9\%,124.29,8.8\%
0.015,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.02,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.03,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
0.05,0.0\%,0.0\%,,0.0\%,0.0\%,100.00,0.0\%
