norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,2.0,1.0,1981-12-31,stressed,0.5615390650624265,0.531894414019397
L2,2.0,1.0,1982-01-31,stressed,0.5471951111844718,0.5310049272244493
L2,2.0,1.0,1982-02-28,stressed,0.5090293465695773,0.5364899512228238
L2,2.0,1.0,1982-03-31,stressed,0.4988655576066226,0.538044549778042
L2,2.0,1.0,1982-04-30,stressed,0.5131899832277391,0.5470377579914879
L2,2.0,1.0,1982-05-31,stressed,0.48765262328236036,0.5501226117302948
L2,2.0,1.0,1982-06-30,stressed,0.47307668637245065,0.5362015554939615
L2,2.0,1.0,1982-07-31,stressed,0.4572328750691509,0.5536230249848376
L2,2.0,1.0,1982-08-31,stressed,0.5067864023705202,0.5796319380818399
L2,2.0,1.0,1982-09-30,stressed,0.5080604633860797,0.6001386815623947
L2,2.0,1.0,1982-10-31,stressed,0.5611344916332431,0.6283860309490477
L2,2.0,1.0,1982-11-30,normal,0.5778692055772213,0.6305675423614343
L2,2.0,1.0,1982-12-31,calm,0.5827568233179935,0.6390161942119957
L2,2.0,1.0,1983-01-31,calm,0.5980448658209178,0.6356830692429887
L2,2.0,1.0,1983-02-28,calm,0.6056968498790964,0.6499805414959691
L2,2.0,1.0,1983-03-31,calm,0.6219264969716067,0.6475852373259132
L2,2.0,1.0,1983-04-30,calm,0.6641067958492151,0.661037435210619
L2,2.0,1.0,1983-05-31,calm,0.651325396456301,0.6478105995669197
L2,2.0,1.0,1983-06-30,calm,0.6699038020648206,0.6441642274138458
L2,2.0,1.0,1983-07-31,calm,0.6428303098081729,0.6241635657683873
L2,2.0,1.0,1983-08-31,normal,0.6452209957303495,0.6237638931229855
L2,2.0,1.0,1983-09-30,normal,0.6468714710374278,0.6395947661329394
L2,2.0,1.0,1983-10-31,normal,0.6321396201560214,0.6370252132828089
L2,2.0,1.0,1983-11-30,normal,0.6387303078357681,0.6398562618145366
L2,2.0,1.0,1983-12-31,normal,0.6284250330491459,0.6364140795512657
L2,2.0,1.0,1984-01-31,normal,0.6178574376933914,0.6446985925788665
L2,2.0,1.0,1984-02-29,normal,0.5894613277144408,0.6368162605966066
L2,2.0,1.0,1984-03-31,normal,0.5931148090236149,0.625019928947399
L2,2.0,1.0,1984-04-30,normal,0.5915525446166467,0.618731801484021
L2,2.0,1.0,1984-05-31,normal,0.5518262419303712,0.5946173060936221
L2,2.0,1.0,1984-06-30,stressed,0.557327397736175,0.5977728392361519
L2,2.0,1.0,1984-07-31,stressed,0.5435887200545806,0.6197677302319536
L2,2.0,1.0,1984-08-31,normal,0.5968778094589712,0.6250604041584276
L2,2.0,1.0,1984-09-30,normal,0.5896675255207068,0.6345303792082446
L2,2.0,1.0,1984-10-31,normal,0.5837354702139685,0.6551065948711156
L2,2.0,1.0,1984-11-30,normal,0.5706527908555331,0.662042759279566
L2,2.0,1.0,1984-12-31,normal,0.5797683985366594,0.6674758372985344
L2,2.0,1.0,1985-01-31,normal,0.6189520457517595,0.678331718608076
L2,2.0,1.0,1985-02-28,normal,0.6207377224037534,0.6605228345472154
L2,2.0,1.0,1985-03-31,normal,0.615073490686819,0.6698937282680262
L2,2.0,1.0,1985-04-30,normal,0.6078193139376588,0.6789265006544384
L2,2.0,1.0,1985-05-31,normal,0.6366609482033145,0.7099243473934242
L2,2.0,1.0,1985-06-30,calm,0.6408845569336954,0.7135248026807732
L2,2.0,1.0,1985-07-31,calm,0.633804064348692,0.7066128844744178
L2,2.0,1.0,1985-08-31,calm,0.6227156622429115,0.7160094672911846
L2,2.0,1.0,1985-09-30,normal,0.5973561896137312,0.716031371650462
L2,2.0,1.0,1985-10-31,normal,0.618866388645532,0.7263856855684556
L2,2.0,1.0,1985-11-30,normal,0.6553559886528498,0.7394096809260442
L2,2.0,1.0,1985-12-31,calm,0.6806271709312924,0.7572047024299106
L2,2.0,1.0,1986-01-31,calm,0.6784267032876715,0.757177093654496
L2,2.0,1.0,1986-02-28,calm,0.7233310883515792,0.7830161198673107
L2,2.0,1.0,1986-03-31,calm,0.757178643299903,0.8026354653929989
L2,2.0,1.0,1986-04-30,calm,0.7425287509093365,0.8027151883426402
L2,2.0,1.0,1986-05-31,calm,0.7761868366593058,0.7834395517252107
L2,2.0,1.0,1986-06-30,calm,0.7831026613739401,0.7998738437676511
L2,2.0,1.0,1986-07-31,normal,0.7330757140573887,0.8027951818446982
L2,2.0,1.0,1986-08-31,normal,0.7818934250836125,0.819051887788941
L2,2.0,1.0,1986-09-30,normal,0.7115707123250175,0.8072829651787554
L2,2.0,1.0,1986-10-31,normal,0.7472410405631583,0.8152394836302989
L2,2.0,1.0,1986-11-30,normal,0.7603752963331369,0.8234649680799356
L2,2.0,1.0,1986-12-31,normal,0.7351399609984328,0.822521252971989
L2,2.0,1.0,1987-01-31,normal,0.8289195604031199,0.8306614684838529
L2,2.0,1.0,1987-02-28,normal,0.8559622321417112,0.8328499243448317
