Label,Window,Months,Stressed sh.,Ann. ret.,Ann. vol.,Sharpe,Worst,Max. DD
Equity,1990 recession,9,0%,+0.8%,17.4%,+0.05,-10.1%,-16.4%
Equity,1994 bond shock,12,58%,-4.9%,10.1%,-0.48,-4.8%,-9.0%
Equity,Dot-com bust,32,3%,-20.0%,18.6%,-1.07,-11.1%,-46.9%
Equity,Global financial crisis,18,6%,-36.4%,23.1%,-1.58,-17.0%,-51.3%
Equity,Euro sovereign 2011,8,0%,-10.6%,17.5%,-0.61,-7.2%,-15.9%
Equity,Covid crash,3,0%,-33.9%,38.4%,-0.88,-12.6%,-12.6%
Equity,Inflation 2022,12,67%,-20.4%,21.9%,-0.93,-9.5%,-21.3%
Bond,1990 recession,9,0%,+4.5%,3.2%,+1.41,-2.0%,-2.0%
Bond,1994 bond shock,12,58%,-6.7%,4.2%,-1.61,-2.7%,-7.8%
Bond,Dot-com bust,32,3%,+6.5%,3.3%,+1.97,-1.8%,-2.6%
Bond,Global financial crisis,18,6%,+3.8%,5.2%,+0.74,-2.4%,-4.8%
Bond,Euro sovereign 2011,8,0%,+8.8%,2.4%,+3.69,-0.3%,-0.3%
Bond,Covid crash,3,0%,+11.0%,4.0%,+2.76,-0.7%,-0.7%
Bond,Inflation 2022,12,67%,-14.9%,7.9%,-1.90,-4.5%,-14.5%
