Family,Norm,Calm,Normal,Stress.,Switches,Avg dur,Sep,lambda,eta
sortino,L2,0.03,0.84,0.13,59,7.2,7.07,2,8
all,L1,0.2,0.7,0.1,85,5.0,6.24,2,1
sortino_trend,L2,0.06,0.83,0.11,55,7.7,5.96,2,4
sortino,L1,0.19,0.69,0.11,77,5.5,5.89,2,2
mom,L2,0.05,0.83,0.13,55,7.7,5.83,2,4
core,L1,0.13,0.77,0.1,52,8.1,5.7,2,1
sortino_dd,L1,0.18,0.71,0.1,62,6.8,5.69,2,1
sortino_dd,L2,0.08,0.81,0.12,53,8.0,5.67,2,1
sortino_short,L1,0.2,0.71,0.09,71,6.0,5.6,2,2
sortino_trend,L1,0.28,0.6,0.11,77,5.5,5.29,3,2
all,L2,0.23,0.7,0.07,51,8.3,5.1,2,2
mom,L1,0.31,0.59,0.09,81,5.3,5.03,2,1
risk,L2,0.22,0.71,0.08,40,10.5,4.6,2,2
dd_trend,L1,0.11,0.81,0.08,46,9.2,4.59,2,8
risk,L1,0.21,0.71,0.08,39,10.8,4.54,2,1
core,L2,0.23,0.68,0.09,48,8.8,4.47,3,4
trend,L2,0.25,0.68,0.07,51,8.3,4.46,2,1
dd_trend,L2,0.21,0.74,0.05,31,13.5,4.41,2,1
sortino_short,L2,0.01,0.83,0.15,55,7.7,4.21,2,4
dd,L1,0.21,0.71,0.08,41,10.3,4.07,2,4
dd,L2,0.16,0.75,0.09,42,10.0,3.98,2,1
trend,L1,0.67,0.32,0.01,62,6.8,2.2,2,8
