month_end,ff_mktrf,ff_smb,ff_hml,ff_rmw,ff_cma,ff_mom,ff_rf,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,crsp_ind12_buseq,crsp_ind12_chems,crsp_ind12_durbl,crsp_ind12_enrgy,crsp_ind12_hlth,crsp_ind12_manuf,crsp_ind12_money,crsp_ind12_nodur,crsp_ind12_other,crsp_ind12_shops,crsp_ind12_telcm,crsp_ind12_utils,crsp_tsy_10_20y,crsp_tsy_1_3y,crsp_tsy_20y_plus,crsp_tsy_7_10y,crsp_tsy_3_7y
1926-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066641472,0.0051199491,0.0100588434,,
1926-02-28,,,,,,,,,,,,,,-0.019797672,-0.006479438,-0.022817674,-0.039374712,-0.040137275,-0.033066449,-0.062379964,-0.053685845,-0.032308188,-0.064549405,0.0225214207,-0.040053957,0.0028078419,0.0034385591,0.0068132611,,
1926-03-31,,,,,,,,,,,,,,-0.077452943,-0.077872469,-0.110120983,-0.0316112,-0.050072404,-0.062514086,-0.092488643,-0.074310032,-0.036847487,-0.164470905,-0.01773372,-0.098046847,0.004174986,0.004384878,0.0015699554,,
1926-04-30,,,,,,,,,,,,,,0.0453835775,0.0447489057,0.0312519015,0.0470909233,0.0460104071,0.0394640028,0.0295668073,0.0355324195,0.0401398809,-0.000463888,0.0230051053,0.0386811304,0.0081188764,0.0050181283,0.0053390614,,
1926-05-31,,,,,,,,,,,,,,0.0051247317,0.0031041145,-0.031993595,0.0304071058,0.0205014329,0.0000547834,0.027886547,0.0175885526,0.0228618721,0.0011262148,0.0224355948,0.0144476208,0.0030351081,0.0021059345,0.0022120266,,
1926-06-30,,,,,,,,,,,,,,0.0737728768,0.0734377257,0.1291105608,0.0241128153,0.0576089606,0.0732911298,0.0322152391,0.0464991964,0.0416988864,0.1036810334,-0.00286562,0.0448637525,0.002324182,0.0057092098,0.0054063442,,
1926-07-31,,,,,,,,0.0109,0.0088,-0.0013,0.0557,0.0191,0.0201,0.0320927005,0.0800620419,0.1559447973,-0.010596703,0.0206029043,0.0372879274,-0.000172154,0.0147411705,0.0217978683,0.0008930574,0.0083007804,0.0704091207,0.0012521415,0.0021903972,0.0007816896,,
1926-08-31,,,,,,,,0.0078,0.0147,0.0544,0.0273,0.027,0.0568,0.0203349152,0.0515940123,0.0368318419,0.0331749538,0.042451675,0.0242404606,0.0447085956,0.0396707029,0.0431644942,-0.007140597,0.0217463583,-0.017017923,0.0010316702,0.0021050724,0.0012596083,-0.003266399,
1926-09-30,,,,,,,,-0.028,-0.0006,-0.0044,0.0148,0.001,-0.0079,-0.003740804,0.0529696794,0.0545472038,-0.033854986,0.0068779815,-0.000850813,-0.017772712,0.0113865282,0.0035907886,0.0021083092,0.0240887832,0.019161513,0.0005895296,0.0024603082,0.0004107318,0.0103120613,
1926-10-31,,,,,,,,-0.0403,-0.0436,-0.0201,-0.0363,-0.0235,-0.04,-0.053121331,-0.045664186,-0.082146155,-0.007775503,-0.005696219,-0.031697653,-0.056192377,-0.014709818,-0.027431531,-0.02292083,-0.001110937,-0.028476667,0.0075880859,0.0040191234,0.0064411477,-0.004542297,
